[列]特征,实际/期望分区数,最小值,最大值,bad数量,good数量,合计,bad比例(%),bad WOE,bad IV
[10]streams-0-color_primaries,2/2,-1.0,2.0,3430,6568,9998,34.31,-0.13430837886823682,0.0346211552763378
[3]streams-0-color_space,2/2,-1.0,2.0,3430,6568,9998,34.31,-0.13430837886823682,0.0346211552763378
[8]streams-0-tags-encoder,2/2,-1.0,2.0,3430,6568,9998,34.31,-0.1084852920888981,0.0324341538136842
[9]format-tags-major_brand,2/2,0.0,2.0,3430,6568,9998,34.31,-0.10823061529999664,0.03221056018404432
[6]format-tags-compatible_brands,2/2,0.0,2.0,3430,6568,9998,34.31,-0.10823061529999664,0.03221056018404432
[2]streams-0-side_data_list-0-displaymatrix,2/2,-1.0,2.0,3430,6568,9998,34.31,-0.10183585265713488,0.030846154980326265
[11]streams-1-time_base,2/2,0.0,2.0,3430,6568,9998,34.31,-0.0964516525312536,0.02837514175095801
[7]streams-1-sample_rate,2/2,0.0,2.0,3430,6568,9998,34.31,-0.0964516525312536,0.02837514175095801
[5]streams-1-codec_time_base,2/2,0.0,2.0,3430,6568,9998,34.31,-0.0964516525312536,0.02837514175095801
[14]streams-0-display_aspect_ratio,2/2,0.0,2.0,3430,6568,9998,34.31,-0.06584075717175619,0.026716667749816757
[1]streams-0-profile,2/2,0.0,2.0,3430,6568,9998,34.31,0.16599273488993346,0.008879560187017252
[15]streams-0-side_data_list-0-rotation,2/2,-1.0,2.0,3430,6568,9998,34.31,0.30579938045292926,0.0006466893081402263
[4]streams-0-tags-rotate,2/2,-1.0,2.0,3430,6568,9998,34.31,0.30579938045292926,0.0006466893081402263
[13]streams-0-coded_width,1/2,0.0,2.0,3430,6567,9997,34.31,0.0,0.0
[12]streams-0-width,1/2,0.0,2.0,3430,6567,9997,34.31,0.0,0.0
#,#,#,#,#,#,#,#,#,#
[1]streams-0-profile,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",2786,5567,8353,83.55,33.35,-0.04260032287147821,0.0015059000757527505
"[2.0, 3.0]",644,1001,1645,16.45,39.15,0.20859305776141168,0.007373660111264502
合计,3430,6568,9998,100.0,34.31,0.16599273488993346,0.008879560187017252
#,#,#,#,#,#,#,#
[2]streams-0-side_data_list-0-displaymatrix,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[-1.0, 0.0]",1096,2652,3748,37.49,29.24,-0.23399777282551373,0.01971252353477193
"[1.0, 2.0]",2334,3916,6250,62.51,37.34,0.13216192016837885,0.011133631445554333
合计,3430,6568,9998,100.0,34.31,-0.10183585265713488,0.030846154980326265
#,#,#,#,#,#,#,#
[3]streams-0-color_space,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[-1.0, 0.0]",2443,4104,6547,65.48,37.31,0.1309137953794135,0.011441492783178301
"[1.0, 2.0]",987,2464,3451,34.52,28.6,-0.2652221742476503,0.023179662493159503
合计,3430,6568,9998,100.0,34.31,-0.13430837886823682,0.0346211552763378
#,#,#,#,#,#,#,#
[4]streams-0-tags-rotate,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[-1.0, 0.0]",27,38,65,0.65,41.54,0.30789981725022175,0.0006423076019916078
"[1.0, 2.0]",3403,6530,9933,99.35,34.26,-0.002100436797292473,4.3817061486186e-06
合计,3430,6568,9998,100.0,34.31,0.30579938045292926,0.0006466893081402263
#,#,#,#,#,#,#,#
[5]streams-1-codec_time_base,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",1107,2651,3758,37.59,29.46,-0.22363416260811,0.018088225442068173
"[2.0, 3.0]",2323,3917,6240,62.41,37.23,0.1271825100768564,0.01028691630888984
合计,3430,6568,9998,100.0,34.31,-0.0964516525312536,0.02837514175095801
#,#,#,#,#,#,#,#
[6]format-tags-compatible_brands,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",2354,3944,6298,62.99,37.38,0.1335696830699747,0.011461636593275277
"[2.0, 3.0]",1076,2624,3700,37.01,29.08,-0.24180029836997133,0.02074892359076904
合计,3430,6568,9998,100.0,34.31,-0.10823061529999664,0.03221056018404432
#,#,#,#,#,#,#,#
[7]streams-1-sample_rate,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",1107,2651,3758,37.59,29.46,-0.22363416260811,0.018088225442068173
"[2.0, 3.0]",2323,3917,6240,62.41,37.23,0.1271825100768564,0.01028691630888984
合计,3430,6568,9998,100.0,34.31,-0.0964516525312536,0.02837514175095801
#,#,#,#,#,#,#,#
[8]streams-0-tags-encoder,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[-1.0, 0.0]",2354,3942,6296,62.97,37.39,0.13407691107983502,0.011545989230308834
"[1.0, 2.0]",1076,2626,3702,37.03,29.07,-0.24256220316873311,0.020888164583375363
合计,3430,6568,9998,100.0,34.31,-0.1084852920888981,0.0324341538136842
#,#,#,#,#,#,#,#
[9]format-tags-major_brand,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",2354,3944,6298,62.99,37.38,0.1335696830699747,0.011461636593275277
"[2.0, 3.0]",1076,2624,3700,37.01,29.08,-0.24180029836997133,0.02074892359076904
合计,3430,6568,9998,100.0,34.31,-0.10823061529999664,0.03221056018404432
#,#,#,#,#,#,#,#
[10]streams-0-color_primaries,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[-1.0, 0.0]",2443,4104,6547,65.48,37.31,0.1309137953794135,0.011441492783178301
"[1.0, 2.0]",987,2464,3451,34.52,28.6,-0.2652221742476503,0.023179662493159503
合计,3430,6568,9998,100.0,34.31,-0.13430837886823682,0.0346211552763378
#,#,#,#,#,#,#,#
[11]streams-1-time_base,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",1107,2651,3758,37.59,29.46,-0.22363416260811,0.018088225442068173
"[2.0, 3.0]",2323,3917,6240,62.41,37.23,0.1271825100768564,0.01028691630888984
合计,3430,6568,9998,100.0,34.31,-0.0964516525312536,0.02837514175095801
#,#,#,#,#,#,#,#
[12]streams-0-width,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",3430,6567,9997,100.0,34.31,0.0,0.0
合计,3430,6567,9997,100.0,34.31,0.0,0.0
#,#,#,#,#,#,#,#
[13]streams-0-coded_width,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",3430,6567,9997,100.0,34.31,0.0,0.0
合计,3430,6567,9997,100.0,34.31,0.0,0.0
#,#,#,#,#,#,#,#
[14]streams-0-display_aspect_ratio,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[0.0, 1.0]",1241,2902,4143,41.44,29.95,-0.19983353726724745,0.01599300577203562
"[2.0, 3.0]",2189,3666,5855,58.56,37.39,0.13399278009549126,0.010723661977781138
合计,3430,6568,9998,100.0,34.31,-0.06584075717175619,0.026716667749816757
#,#,#,#,#,#,#,#
[15]streams-0-side_data_list-0-rotation,bad数量,good数量,合计,分区数量占比(%),bad比例(%),bad WOE,bad IV
"[-1.0, 0.0]",27,38,65,0.65,41.54,0.30789981725022175,0.0006423076019916078
"[1.0, 2.0]",3403,6530,9933,99.35,34.26,-0.002100436797292473,4.3817061486186e-06
合计,3430,6568,9998,100.0,34.31,0.30579938045292926,0.0006466893081402263
#,#,#,#,#,#,#,#
规则如下,#,#,#,#,#,#
[12]streams-0-width,bad数量,good数量,合计,bad比例(%)
"[2.0, 3.0]",0,1,1,0.0
合计,0,1,1,0.0
#,#,#,#,#
[13]streams-0-coded_width,bad数量,good数量,合计,bad比例(%)
"[2.0, 3.0]",0,1,1,0.0
合计,0,1,1,0.0
#,#,#,#,#
